"field","agency","report_year_13","report_year_py","report_year_cy","funding_13","funding_py","funding_cy","difference_13","dif_pct_13","difference_py","dif_pct_py"
"Computer and information sciences","DOD",2013,2012,2013,547181,471067,547181,0,"0.0000",76114,"0.1616"
"Computer and information sciences","DOD",2013,2013,2014,547181,547181,553986,6805,"0.0124",6805,"0.0124"
"Computer and information sciences","DOD",2013,2014,2015,547181,553986,559453,12272,"0.0224",5467,"0.0099"
"Computer and information sciences","DOD",2013,2015,2016,547181,559453,604205,57024,"0.1042",44752,"0.0800"
"Computer and information sciences","DOD",2013,2016,2017,547181,604205,609382,62201,"0.1137",5177,"0.0086"
"Computer and information sciences","DOD",2013,2017,2018,547181,609382,711929,164748,"0.3011",102547,"0.1683"
"Computer and information sciences","DOD",2013,2018,2019,547181,711929,853918,306737,"0.5606",141989,"0.1994"
"Computer and information sciences","DOD",2013,2019,2020,547181,853918,942447,395266,"0.7224",88529,"0.1037"
"Computer and information sciences","DOD",2013,2020,2021,547181,942447,928402,381221,"0.6967",-14045,"-0.0149"
"Computer and information sciences","DOD",2013,2021,2022,547181,928402,1005573,458392,"0.8377",77171,"0.0831"
"Computer and information sciences","DOD",2013,2022,2023,547181,1005573,1089161,541980,"0.9905",83588,"0.0831"
"Computer and information sciences","DOE",2013,2012,2013,50414,55352,50414,0,"0.0000",-4938,"-0.0892"
"Computer and information sciences","DOE",2013,2013,2014,50414,50414,47114,-3300,"-0.0655",-3300,"-0.0655"
"Computer and information sciences","DOE",2013,2014,2015,50414,47114,51461,1047,"0.0208",4347,"0.0923"
"Computer and information sciences","DOE",2013,2015,2016,50414,51461,58125,7711,"0.1530",6664,"0.1295"
"Computer and information sciences","DOE",2013,2016,2017,50414,58125,50842,428,"0.0085",-7283,"-0.1253"
"Computer and information sciences","DOE",2013,2017,2018,50414,50842,52973,2559,"0.0508",2131,"0.0419"
"Computer and information sciences","DOE",2013,2018,2019,50414,52973,50077,-337,"-0.0067",-2896,"-0.0547"
"Computer and information sciences","DOE",2013,2019,2020,50414,50077,48282,-2132,"-0.0423",-1795,"-0.0358"
"Computer and information sciences","DOE",2013,2020,2021,50414,48282,57168,6754,"0.1340",8886,"0.1840"
"Computer and information sciences","DOE",2013,2021,2022,50414,57168,65081,14667,"0.2909",7913,"0.1384"
"Computer and information sciences","DOE",2013,2022,2023,50414,65081,71235,20821,"0.4130",6154,"0.0946"
"Computer and information sciences","HHS",2013,2012,2013,80514,98909,80514,0,"0.0000",-18395,"-0.1860"
"Computer and information sciences","HHS",2013,2013,2014,80514,80514,72284,-8230,"-0.1022",-8230,"-0.1022"
"Computer and information sciences","HHS",2013,2014,2015,80514,72284,74742,-5772,"-0.0717",2458,"0.0340"
"Computer and information sciences","HHS",2013,2015,2016,80514,74742,80679,165,"0.0020",5937,"0.0794"
"Computer and information sciences","HHS",2013,2016,2017,80514,80679,88079,7565,"0.0940",7400,"0.0917"
"Computer and information sciences","HHS",2013,2017,2018,80514,88079,107035,26521,"0.3294",18956,"0.2152"
"Computer and information sciences","HHS",2013,2018,2019,80514,107035,119929,39415,"0.4895",12894,"0.1205"
"Computer and information sciences","HHS",2013,2019,2020,80514,119929,126044,45530,"0.5655",6115,"0.0510"
"Computer and information sciences","HHS",2013,2020,2021,80514,126044,139415,58901,"0.7316",13371,"0.1061"
"Computer and information sciences","HHS",2013,2021,2022,80514,139415,175294,94780,"1.1772",35879,"0.2574"
"Computer and information sciences","HHS",2013,2022,2023,80514,175294,194801,114287,"1.4195",19507,"0.1113"
"Computer and information sciences","NASA",2013,2012,2013,16794,19145,16794,0,"0.0000",-2351,"-0.1228"
"Computer and information sciences","NASA",2013,2013,2014,16794,16794,17809,1015,"0.0604",1015,"0.0604"
"Computer and information sciences","NASA",2013,2014,2015,16794,17809,19419,2625,"0.1563",1610,"0.0904"
"Computer and information sciences","NASA",2013,2015,2016,16794,19419,16320,-474,"-0.0282",-3099,"-0.1596"
"Computer and information sciences","NASA",2013,2016,2017,16794,16320,18388,1594,"0.0949",2068,"0.1267"
"Computer and information sciences","NASA",2013,2017,2018,16794,18388,21865,5071,"0.3020",3477,"0.1891"
"Computer and information sciences","NASA",2013,2018,2019,16794,21865,22842,6048,"0.3601",977,"0.0447"
"Computer and information sciences","NASA",2013,2019,2020,16794,22842,18865,2071,"0.1233",-3977,"-0.1741"
"Computer and information sciences","NASA",2013,2020,2021,16794,18865,23134,6340,"0.3775",4269,"0.2263"
"Computer and information sciences","NASA",2013,2021,2022,16794,23134,27181,10387,"0.6185",4047,"0.1749"
"Computer and information sciences","NASA",2013,2022,2023,16794,27181,30726,13932,"0.8296",3545,"0.1304"
"Computer and information sciences","NSF",2013,2012,2013,706221,570757,706221,0,"0.0000",135464,"0.2373"
"Computer and information sciences","NSF",2013,2013,2014,706221,706221,556831,-149390,"-0.2115",-149390,"-0.2115"
"Computer and information sciences","NSF",2013,2014,2015,706221,556831,579693,-126528,"-0.1792",22862,"0.0411"
"Computer and information sciences","NSF",2013,2015,2016,706221,579693,590104,-116117,"-0.1644",10411,"0.0180"
"Computer and information sciences","NSF",2013,2016,2017,706221,590104,616837,-89384,"-0.1266",26733,"0.0453"
"Computer and information sciences","NSF",2013,2017,2018,706221,616837,624511,-81710,"-0.1157",7674,"0.0124"
"Computer and information sciences","NSF",2013,2018,2019,706221,624511,629904,-76317,"-0.1081",5393,"0.0086"
"Computer and information sciences","NSF",2013,2019,2020,706221,629904,745864,39643,"0.0561",115960,"0.1841"
"Computer and information sciences","NSF",2013,2020,2021,706221,745864,707378,1157,"0.0016",-38486,"-0.0516"
"Computer and information sciences","NSF",2013,2021,2022,706221,707378,748352,42131,"0.0597",40974,"0.0579"
"Computer and information sciences","NSF",2013,2022,2023,706221,748352,844522,138301,"0.1958",96170,"0.1285"
"Computer and information sciences","Other agencies",2013,2012,2013,147689,143721,147689,0,"0.0000",3968,"0.0276"
"Computer and information sciences","Other agencies",2013,2013,2014,147689,147689,134773,-12916,"-0.0875",-12916,"-0.0875"
