"report_year","field","agency","funding_total","funding_agency","agency_pct"
2013,"Computer and information sciences","NSF",1552300,706221,"0.45495136249436320299"
2013,"Computer and information sciences","Other agencies",1552300,147689,"0.09514204728467435418"
2013,"Computer and information sciences","DOD",1552300,547181,"0.35249694002447980416"
2013,"Computer and information sciences","NASA",1552300,16794,"0.01081878502866713908"
2013,"Computer and information sciences","HHS",1552300,80514,"0.05186755137537847066"
2013,"Computer and information sciences","DOE",1552300,50414,"0.03247696965792694711"
2013,"Computer and information sciences","USDA",1552300,3487,"0.00224634413451008181"
2013,"Engineering","NSF",6499575,1246500,"0.19178177034652265725"
2013,"Engineering","HHS",6499575,634340,"0.09759715058292272956"
2013,"Engineering","DOE",6499575,786858,"0.12106299258028409550"
2013,"Engineering","USDA",6499575,57919,"0.00891119803987183777"
2013,"Engineering","NASA",6499575,421969,"0.06492255262844109038"
2013,"Engineering","Other agencies",6499575,894267,"0.13758853463495690103"
2013,"Engineering","DOD",6499575,2457722,"0.37813580118700068851"
2013,"Life sciences","NSF",22227173,768553,"0.03457718172256993726"
2013,"Life sciences","HHS",22227173,18647443,"0.83894802996314466082"
2013,"Life sciences","USDA",22227173,875908,"0.03940708069352769243"
2013,"Life sciences","Other agencies",22227173,726149,"0.03266942674176333626"
2013,"Life sciences","NASA",22227173,84615,"0.00380682689606995905"
2013,"Life sciences","DOD",22227173,907875,"0.04084527528534555429"
2013,"Life sciences","DOE",22227173,216630,"0.00974617869757885989"
2013,"Mathematics and statistics","NSF",464608,267002,"0.57468231283146222192"
2013,"Mathematics and statistics","Other agencies",464608,33609,"0.07233840140505544459"
2013,"Mathematics and statistics","NASA",464608,3904,"0.00840278256078242303"
2013,"Mathematics and statistics","DOD",464608,93534,"0.20131810042013912804"
2013,"Mathematics and statistics","HHS",464608,47353,"0.10192032853502307321"
2013,"Mathematics and statistics","USDA",464608,4099,"0.00882249121840347131"
2013,"Mathematics and statistics","DOE",464608,15107,"0.03251558302913423790"
2013,"Non-S&E","NASA",1181558,13396,"0.01133757293336425296"
2013,"Non-S&E","Other agencies",1181558,626536,"0.53026258550151579525"
2013,"Non-S&E","DOE",1181558,11866,"0.01004267247143178752"
2013,"Non-S&E","USDA",1181558,15856,"0.01341956975451056994"
2013,"Non-S&E","NSF",1181558,217573,"0.18414077006799496935"
2013,"Non-S&E","DOD",1181558,73867,"0.06251660942585975466"
2013,"Non-S&E","HHS",1181558,222464,"0.18828021984532287031"
2013,"Other sciences","USDA",440907,8494,"0.01926483362704606640"
2013,"Other sciences","DOE",440907,28188,"0.06393184957371962795"
2013,"Other sciences","NASA",440907,3787,"0.00858911289682404679"
2013,"Other sciences","DOD",440907,86838,"0.19695309895284039491"
2013,"Other sciences","Other agencies",440907,46232,"0.10485657973223378173"
2013,"Other sciences","HHS",440907,132507,"0.30053276541311433023"
2013,"Other sciences","NSF",440907,134861,"0.30587175980422175198"
2013,"Physical sciences","USDA",3311054,7409,"0.00223765604547675755"
2013,"Physical sciences","Other agencies",3311054,136966,"0.04136628396879060263"
2013,"Physical sciences","DOE",3311054,611537,"0.18469556823899580013"
2013,"Physical sciences","NASA",3311054,455156,"0.13746559252733419630"
2013,"Physical sciences","HHS",3311054,531688,"0.16057968248177166546"
2013,"Physical sciences","NSF",3311054,1058367,"0.31964655363518686195"
2013,"Physical sciences","DOD",3311054,509931,"0.15400866310244411598"
2013,"Psychology","DOE",776402,573,"0.00073801973719799794"
2013,"Psychology","HHS",776402,531129,"0.68409020069500078568"
2013,"Psychology","NASA",776402,17548,"0.02260169345261861767"
2013,"Psychology","NSF",776402,77086,"0.09928619452294043550"
2013,"Psychology","USDA",776402,6167,"0.00794305012094250144"
2013,"Psychology","DOD",776402,44553,"0.05738393255040558886"
2013,"Psychology","Other agencies",776402,99346,"0.12795690892089407292"
2013,"Social sciences","NSF",897585,148870,"0.16585615846967139602"
2013,"Social sciences","DOD",897585,94368,"0.10513544678219890038"
2013,"Social sciences","HHS",897585,304824,"0.33960460569194003910"
2013,"Social sciences","DOE",897585,11031,"0.01228964387773859857"
2013,"Social sciences","NASA",897585,15245,"0.01698446386693182261"
2013,"Social sciences","Other agencies",897585,267440,"0.29795506832222017970"
2013,"Social sciences","USDA",897585,55807,"0.06217461298929906360"
2014,"Computer and information sciences","DOE",1390677,47114,"0.03387846351093747865"
2014,"Computer and information sciences","DOD",1390677,553986,"0.39835705918771936258"
2014,"Computer and information sciences","NASA",1390677,17809,"0.01280599305230474078"
2014,"Computer and information sciences","NSF",1390677,556831,"0.40040282538648442449"
2014,"Computer and information sciences","USDA",1390677,7880,"0.00566630497232642806"
2014,"Computer and information sciences","Other agencies",1390677,134773,"0.09691179188265859002"
2014,"Computer and information sciences","HHS",1390677,72284,"0.05197756200756897540"
2014,"Engineering","NSF",6424206,1255247,"0.19539332954142504148"
2014,"Engineering","Other agencies",6424206,848809,"0.13212667837861986368"
2014,"Engineering","DOD",6424206,2424238,"0.37735994144646046531"
2014,"Engineering","NASA",6424206,435288,"0.06775747851174137318"
2014,"Engineering","USDA",6424206,51762,"0.00805733813641716969"
2014,"Engineering","HHS",6424206,619269,"0.09639619277464016565"
2014,"Engineering","DOE",6424206,789593,"0.12290904121069592102"
2014,"Life sciences","NSF",21270352,726955,"0.03417691442059821107"
2014,"Life sciences","Other agencies",21270352,696349,"0.03273801016551113023"
2014,"Life sciences","DOD",21270352,878024,"0.04127924164113504092"
2014,"Life sciences","HHS",21270352,17841751,"0.83880845037261254539"
2014,"Life sciences","NASA",21270352,83451,"0.00392334833010756004"
2014,"Life sciences","DOE",21270352,185391,"0.00871593474334604336"
2014,"Life sciences","USDA",21270352,858431,"0.04035810032668946898"
2014,"Mathematics and statistics","HHS",441383,44648,"0.10115477940926587567"
2014,"Mathematics and statistics","Other agencies",441383,31214,"0.07071862758647251933"
2014,"Mathematics and statistics","NASA",441383,3821,"0.00865688075888740618"
2014,"Mathematics and statistics","DOD",441383,96234,"0.21802833366939823237"
2014,"Mathematics and statistics","DOE",441383,12425,"0.02815015530729547808"
